,Title,Date,Number of Comments,Number of Views
162,"   יו''ר הסוכנות היהודית הנבחר דורון אלמוג, בוועידת התנועה הרפורמית בשפיים מספר על בתו הבכורה שעלתה בגיל 12 לתורה","עמבה
06/19/2022",130,22895
163,   גורמי ביון מערביים מעריכים כי דיפלומטים איראניים המוצבים באיסטנבול מסייעים לחוליות הפיגועים האיראניות,"Goldfinger
06/19/2022",6,3765
164,"   בנט אומר בישיבת ממשלה לשרים: ''עלות השיפוץ של הבית שלי זה 160,000 שח, כל היתר זו עלות אבטחה''","דבש ועוקץ
06/19/2022",140,23382
165,   גנץ בריאיון: ''מכינים יכולות התקפיות נגד איראן - במקרה הצורך'' - הראיון המלא,"ZioNLight
06/19/2022",3,1217
166,   סקר: זינוק בפופולריות של ח''כ בן גביר בקרב מצביעי ש''ס,"דבש ועוקץ
06/19/2022",128,22838
167,   רמטי''ת יו''ש בימינה במכתב לניר אורבך: ''אל תכנע לבריונות מהאופוזיציה הפועלים כנגד המדינה,"האדמירל
06/19/2022",33,12747
168,   בכירים בישראל: האיראנים משדרים שברצונם לחזור למו''מ ולחתום על הסכם הגרעין,"Goldfinger
06/19/2022",13,5125
169,   הנדל מתנער ממשלה חלופית עם נתניהו: אין חלופות אחרות למעט בחירות,"האדמירל
06/19/2022",72,12071
170,   התראה על מפגע באלעד להלן תמונתו,"Double Spanish
06/19/2022",4,1557
171,   פורום ''החמישיה'': בנט כינס דיון ביטחוני. מיכאלי והורוביץ לא הוזמנו,"Pierre
06/19/2022",36,11893
172,"   גנץ על העמדה של חמאס מול נתיב העשרה :''אני מבין שזה מעצבן , בסופו של דבר זאת השנה השקטה ביותר ואנחנו שמרנים''","שקשוקה
06/19/2022",31,5428
173,"   הנעדר אברהם משה קליינרמן: יחידת הרחפנים והמשפחה, מבקשים את עזרת הציבור.","אחד מהשורה
06/19/2022",41,18413
174,   פרוייקט חדש של הרש''פ יצא לדרך: נטיעת עצי חורש לטובת תפיסת אדמות - ''מונע את התפשטות ההתנחלויות'',"מתיישב יהודי
06/19/2022",11,3691
175,"   צרפת: חודשיים אחרי שנבחר, צופים המדגמים, כי מקרון איבד את הרוב בפרלמנט","יוסריאן
06/19/2022",4,1293
176,   ליברמן: לא פוסל שהתנהלותו של אורבך נובעת מכך שהוא תחת סחיטה באיומים,"עולם קטן
06/19/2022",52,9165
177,   מפגינה: ''אנחנו לא רוצים ממשלה שחורה של דתיים וגזענים ופשיסטים וביביסטים שיביאו עלינו דיקטטורה'',"דודידו
06/19/2022",186,28411
178,   חוק הפרוטקשן אושר בוועדת השרים: ''מגמה מדאיגה וממושכת'',"יחיעם
06/19/2022",44,19904
179,   ציד לא חוקי ביהודה ושומרון של צבאים דיווח של רשות הטבע והגנים ביהודה ושומרון כפול,"מרלין
06/19/2022",6,1213
